Unnamed: 0,text,labels,target,action
66,"GOSHEN, NY — Orange County District Attorney David M. Hoovler announced Tuesday that Maria Medina, 67, formerly of Wallkill, pleaded guilty to the felony of Immigrant Assistance Services Fraud in the First Degree. At the time that she pleaded guilty, Medina admitted that she had defrauded at least four different recent immigrants from Mexico and Columbia, making false promises to them that she would be able to expedite changes to their legal immigration status by providing them with United States residency cards, commonly called green cards. As part of the plea agreement, Medina agreed to pay $9,350 in restitution to the immigrants she had defrauded.  Medina acknowledged that she will likely be deported after serving a term of incarceration that may be imposed on her when she is sentenced Oct. 24. (For more information on this and other neighborhood stories, subscribe to Patch to receive daily newsletters and breaking news alerts.)  Medinas guilty plea marks the first time that the Orange County District Attorneys Office has obtained a conviction for the felony of Immigrant Assistance Services Fraud in the First Degree. The case was brought as part of Orange County District Attorneys Office Immigrant Affairs Initiative.  Photo credit: Orange County District Attorneys Office  In Aug. 2016, Hoovler launched a new initiative, designed to assist Orange Countys immigrants in dealing with the criminal justice system. As part of the initiative, the District Attorneys Office joined the New York State District Attorneys League of Immigrant Affairs (DALIA), an organization that comprises six other New York State district attorneys offices, those in the New York City boroughs of Queens, Manhattan, Brooklyn, and the Bronx, as well as Nassau and Westchester counties.  Under the Orange County District Attorneys Offices Immigrant Affairs Initiative, an immigrant who has been the victim of a crime is able to call the District Attorneys Immigrant Affairs Coordinator to report the crime, and the Immigrant Affairs Coordinator, in turn, will ensure that the immigrants complaint is routed to the prosecution unit within the District Attorneys Office that is most appropriate to investigate it.  Victimized immigrants may report any type of crime, including violent crimes, human trafficking, domestic violence, and frauds. Immigrants who wish to report being the victim of a crime, or who otherwise need assistance in dealing with a criminal case in which they are the victim, or those wishing additional information about the initiative, may contact Counsel to the District Attorney Robert Conflitti, who serves as the Immigrant Affairs coordinator, by calling (845) 291-2050 or by email.  District Attorney Hoovler thanked the New York State Police for their investigation and for the arrest of Medina.  In addition, in June 2017, an Orange County grand jury charged Byron Castillo, 36, formerly of Middletown, with five counts of Grand Larceny in the Third Degree, as a Hate Crime; Scheme to Defraud in the First Degree; and five counts of Immigrant Assistance Services Fraud in the First Degree.  The case is also being prosecuted as part of the District Attorneys Immigrant Affairs Initiative.  It is alleged that Castillo defrauded five recent immigrants from Ecuador, by promising them that their relatives could get United States visas, and by providing them with false visa documents and plane tickets. The indictment alleges that Castillo stole in excess of $3,000 from at least five victims, and that he selected his victims in whole or in substantial part because of their national origin. It is alleged that Castillo targeted victims because they were from Ecuador.  The targeting of victims because of their race, color, national origin, ancestry, gender, religion, religious practice, age, disability or sexual orientation of a person, regardless of whether the belief or perception is correct, renders some offenses, such as grand larceny, to be designated as hate crimes, and allows for enhanced punishment. If convicted of Grand Larceny in the Third Degree, as a Hate Crime, Castillo faces up to five to 15 years in state prison.  The Orange County District Attorneys Office and the City of Middletown Police Department are seeking the publics help in locating Byron Castillo. Anyone with information concerning Castillos current location is urged to call Detective Evan Colon at the City of Middletown Police Department, or the Orange County District Attorneys Office at 845-291-2050.  The cases against Medina and Castillo are being prosecuted by Assistant District Attorney Kerry Kolek.  Those who think that they can escape arrest or prosecution in Orange County by preying on undocumented immigrants, who may be reluctant to come forward because of their immigration status, are sadly mistaken, Hoovler said. It is our duty as prosecutors to prosecute every crime, regardless of the citizenship status of the victim. All crime affects everyone in the community, and diminishes everyones quality of life. It must be well understood that this Office will not tolerate criminal acts of any type, against any victim, and if an offender selects a victim based on the victims race, color, national ancestry, religion, ethnicity, gender, sexual preference or identity, or any other constitutionally protected classification, we will prosecute those crimes to fullest extent of the law, and, as appropriate, we will seek enhanced sentences for those acts under New Yorks hate crime statutes. We are a nation of immigrants and all of our residents deserve to be free from being victimized by crime. I urge anyone who believes that they or someone they know has been a victim of Immigrant Assistance Services Fraud, or any immigrant who has been the victim of a crime, but is reluctant to report that crime for fear of immigration consequences, to contact our Immigrant Affairs Coordinator or any other appropriate law enforcement agency.  Image via Shutterstock.  ",1,0,3
67,"BEDFORD-STUYVESANT, BROOKLYN — Police are looking for the man who screamed anti-gay slurs at another man and broke his jaw.  The suspect began spewing slurs at the 27-year-old victim on the corner of Fulton Street and Franklin Avenue around 4 a.m. Saturday, police said.  He then threw a punch, broke his victims jaw and fled, said police.  The victim was rushed to an area hospital for treatment, said police.  Police have released surveillance footage of the suspect wearing a white tank top, dark pants and white sneakers.  Anyone with information about the incident, which is being investigated as a hate crime, is asked to contact the NYPD.    Photos courtesy of the NYPD.",1,4,3
68,"ALEXANDRIA, VA—A homeless man was sentenced for a hate crime that happened at Potomac Yards shopping center in Alexandria in June.  On July 28, John Michael Ready, 26, pleaded guilty to simple assault in which he chose the African-American victim by race. He later admitted after his arrest that the incident was racially-motivated.  He was sentenced in Alexandria General District Court to 12 months with nine months suspended on condition of one year supervised provision and two years with no new charges or convictions. He has already been released under supervision of a probation officer. Ready is barred from contacting the victim.  On June 14, the defendant pulled up next to the victim on Jefferson Davis Highway (U.S. 1), according to the Alexandria Commonwealths Attorney. He asked the victim to roll his window down, then yelled a racial slur. The victim headed into the Potomac Yards shopping center, and Ready followed.      After parking near the victim, Ready pulled a baseball bat out of his trunk and began chasing the victims car. A witness confirmed that Ready attempted to hit the car, but the victim managed to evade the attack. The victim was not physically injured.  Police arrived soon afterward and arrested Ready. Police say he continued to make racist remarks about African Americans.  Image via Tim Evanson/Flickr, used under Creative Commons",1,0,2
69,"Good morning! Its Monday, and we hope you had a restful weekend. Heres what you should know to start your day.  Minnesota Mosque Bombing  After what Gov. Mark Dayton called an act of terror, the FBI is searching for suspects in the bombing of a mosque in Bloomington, Minnesota. No one was injured in the blast Saturday morning, though morning attendees were praying nearby when the improvised explosive device ignited in the imams office, according to the bureau. Both the Muslim American Society and the Council on American-Islamic Relations have offered $10,000 rewards for information related to the attack that leads to an arrest. (New York Magazine)  A Search For Missing Marines Ends  Officials are no longer searching for three members of the United States Marine Corps who were involved in what the military described as a mishap off the coast of Australia on Saturday. The missing Marines were part of a 26-person crew aboard the MV-22 Osprey in question; the 23 other crew members were rescued. The aircraft was conducting regularly scheduled operations at the time of the incident. (Patch)  Concealed Carry Laws And Crime  Allowing people to carry concealed firearms, under what are known as concealed carry or right to carry laws, led to a significant increase in violent crime, according to a recent research paper presented by the National Bureau of Economic Research. The authors used various models to compare states that changed their gun laws with more than 14 years of data. Ten years after enacting this type of law, the authors found, the violent crime rate was 13 to 15 percent higher than it would have been otherwise. (NBER)  638 days in space and the view is still amazing! Soaking up some sunset time in the cupola… pic.twitter.com/AiReQzkjJZ  — Peggy Whitson (@AstroPeggy) August 6, 2017  Quick Hits  Dog With Face Full Of Porcupine Quills Ready For Adoption (Patch)    Power, Tourists Return To N.C.s Ocracoke, Cape Hatteras Islands (Patch)    Sweetest Reaction Ever When Texas Siblings Meet Adopted Sister: Video (Patch)    Fossil Of New Dinosaur Species Shows Life-like Detail Of The Creatures Armor (Patch)    As Lyme Disease Increases In U.S., Researchers Offer Sly Solution  As you enjoy your leisurely walk in the woods or fields this summer, nearly invisible ticks may be waiting in the grass to make you a meal and potentially pass along dangerous pathogens. (Patch)    Boy, 9, Applies For NASA Planetary Protection Officer Job, Gets Best Rejection Letter  The 9-year-old New Jersey boys qualifications include the fact that his sister calls him an alien. (Patch)  Chesapeake Bays Goat Island Is Surprisingly Affordable    The asking price is a deep discount from the original $15 million the owners once sought. (Patch)    Oak Creek Sikh Temple Shooting: 5 Years Ago As It Happened    Five years ago, Patch covered the tragic moments for the Sikh community. Here are the events as they unfolded in 2012. (Patch)    Ohio Inmate Escapes Custody After Overpowering Deputy, Taking His Gun: Sheriff    A manhunt is underway for the escaped inmate who was jailed on rape allegations. (Patch)    This Day In History  1794 — President Washington moves to squash Pennsylvanias Whiskey Rebellion, which sprang up in opposition to the high taxes on booze  1959 — The well-known design of the Lincoln Memorial on the back of the penny enters circulation  Famous Birthdays  1928 — James Randi, a magician and advocate for skepticism  1944 — Robert Mueller, the FBI director under George W. Bush after the 9/11 attacks, currently special counsel overseeing the investigation into possible collusion between the Trump campaign and Russia  Photo by Stephen Maturen/Getty Images",1,3,1
70,"A Muslim family from Malverne was the victim of a hate crime and police are trying to find the person or people responsible.  According to detectives, on two separate occasions, the family found racist messages left in their mailbox on Norwood Avenue. The first, written with red ink on paper, read, KKK Hate Muslims, We will kill you, Jesus loves you, along with the image of a swastika. The second message, written on a small paper plate, read, The KKK is coming for you Muslims.  Its far from the first hate crime to happen on Long Island in recent months. There have been multiple instances of racist graffiti being carved or spray painted into property, as well as people being verbally assaulted. Late last year, a student was arrested for drawing multiple swastikas all over the Nassau Community College campus.    Detectives request anyone with information regarding these incidents to call Crime Stoppers at 1-800-244-TIPS. All callers will remain anonymous.  Have you been a victim to or have witnessed a hate crime? Tell your story here.  Photo: Shutterstock",1,0,3
71,"INDIO, CA – A man who accidentally shot himself during an alleged attempt to kill a black employee at a Desert Hot Springs auto parts store must stand trial for attempted murder and hate crime charges, a judge ruled Wednesday.  Rudy Arana, 19, allegedly brought a sawed-off shotgun to an Autozone store on March 30, and following a tussle with the employee that brought both men to the ground, shot himself in the lower body, according to Desert Hot Springs police.  The employee testified Wednesday that as the work day started, he saw Arana trying to get into his car in the parking lot. He told Arana to leave, but he allegedly returned a short time later and asked other employees where the victim was, while calling himself an N-word killer, according to court documents.  After continuing to loiter near the store, Arana saw the employee he was seeking when the worker left the store to take out the trash, the victim testified.  As they wrestled for control of the gun, Arana allegedly cursed at the employee and referred to him using the N-word, saying, Im going to kill you, the victim testified. He said two shots were fired during the struggle, including the shot that struck Arana.  Arana was taken to a hospital for treatment of his injuries and was later placed under arrest. No one else was injured in the shooting.  Arana was later charged with attempted murder, along with multiple sentence-enhancing allegations, including hate crime, firearm and gang allegations.  He will return to court Aug. 2 for a post-preliminary hearing arraignment. He remains jailed on $1 million bail.  – By City News Service / Image via Shutterstock",1,0,0
72,"WASHINGTON, DC — An 18-year-old man has been charged as a suspect in connection to a hit-and-run and possible hate crime against a transgender woman in Northeast Washington, police said.  Startwaune Anderson, of Northeast DC, was arrested and charged with aggravated assault while armed for the July 5 incident. Police say the weapon was the car Anderson was driving.  At around 3:15 a.m. July 5, Anderson allegedly intentionally struck a transgender woman who was walking in the 400 block of K Street, police told Patch. Anderson then fled eastbound on K Street and the victim was transported to an area hospital, where she was listed in critical condition, police said.  According to WJLA, a friend of the victim said several men were hollering at the victim while she was walking down the street. They then got into an argument with a man in the group the victim was with.  The friend said one of the men made a threat, and soon after that the transgender woman was hit.  We can not definitively say at this point that it was a hate crime, but we have not ruled that out, and were still investigating it, Acting Captain Anthony Haythe with the Metropolitan Police Department said.    Anderson has a court appearance scheduled for Thursday. Subscribe to the Washington DC Patch to stay up to date with all your local crime news.  Shutterstock Photo",1,2,0
73,"CHICAGO, IL — The City of Chicago and the head of the Chicago Police Department have asked a judge to block a Glenview man from a list of potential police officers eligible to attend the academy.  In a petition filed Monday in Cook County Circuit Court, Chicago Police Superintendent Eddie Johnson asked a judge to review a decision by Chicagos Human Resources Board to allow Patrick Lavin, a 27-year-old Glenview resident, to be hired as a probationary Chicago police officer, citing a 2011 arrest.  Lavin was charged with felony aggravated battery, battery and a hate crime after a fight outside a bar in Carbondale in 2011. He said the group of people he was with got into an argument over who a taxicab belonged to, which escalated into a shoving match and an eventual exchange of blows, according to the filing.  Court records show the felony charges were dropped and the incident was expunged from Lavins record after he pleaded guilty to misdemeanor battery. (Sign up for our free daily newsletters and breaking news alerts for the Glenview Patch.)  Lavin was initially charged with a hate crime because one of the people involved was gay, although he said he never knew the sexual orientation of anyone involved, according to a report by a hearing officer of the Human Resources board. He was sentenced to an anger management evaluation and a year of court supervision, the Chicago Tribune reported.  But Johnson and lawyers representing the city argue the facts disqualify Lavin from being eligible to serve as a probationary officer. CPD policy states that if there is evidence that the applicant has engaged in criminal conduct, even if the applicant was never convicted of any criminal offense, then the applicant should be disqualified from consideration, the filing said.  Lavin challenged his disqualification, and on March 6 an administrative hearing officer agreed with him that Chicagos lawyers had failed to prove that he had engaged in conduct constituting a felony. Mondays filing seeks to overturn that ruling.  Lavin could not be reached for comment Tuesday.  Top photo: Chicago Police Department officers at a graduation ceremony | via Chicago Police Department",1,4,0
74,"NEW CITY, NY — From the Rockland County Legislature:  The Rockland County Legislature is calling upon the New York State Senate to reconsider and pass the Gender Expression Non-Discrimination Act, known as GENDA.  The legislation prohibits discrimination based on gender identity or expression and amends the state hate crimes statutes to include offenses regarding gender identity or expression.  Legislators voted 14-0 Tuesday to back the county resolution, which was sponsored by Legislator Alden H. Wolfe.  How appropriate that we should vote on this matter the same week that we celebrate the 241st anniversary of the signing of the Declaration of Independence, with its famous decree that all men are created equal and endowed with certain unalienable rights, Wolfe said. This bill seeks to make sure all people are truly treated equally by outlawing discrimination and by punishing those who engage in such behavior.  The state bill has been passed in the Assembly nine times, most recently in March of this year. Eighteen other states, the District of Columbia, and 157 cities and counties across the country have already passed transgender-inclusive civil rights legislation, and GENDA would extend these protections across New York State.  Brooke Malloy, executive director of the Rockland County Pride Center, was among those attending the Legislatures Tuesdaymeeting. The Pride Center is a Lesbian, Gay, Bisexual, Transgender (LGBT) organization with an anti-racist, social justice mission.  Passing this resolution is a clear indication of the Rockland County Legislatures desire to embrace and support all residents, Malloy said. The Rockland County Pride Center is grateful for strong bipartisan government leaders who believe in equality and justice for all, with no exceptions.  Currently, neither federal nor state statutes ban discrimination in areas of employment, housing or public accommodations based on gender identity or expression, and courts have generally not interpreted sexual orientation nondiscrimination laws to include transgender discrimination.  Every day that goes by without this bill becoming law is another day that our neighbors who are part of the transgender community face discrimination – and perpetrators face no real consequences, Wolfe said. It is past time that we put laws in place to address this civil rights issue. I am proud to support this effort and call upon the state Senate to act immediately.",0,8,5
75,"FLATBUSH, BROOKLYN — A Flatbush man has been charged for allegedly shouting anti-gay slurs and punching a woman on the subway in May, prosecutors said.  Antoine Thomas, 27, got on a Brooklyn-bound Q train at Union Square on May 21 and sat down next to a woman and her girlfriend, according to the Brooklyn District Attorneys Office.    Thomas shouted anti-gay slurs during their train ride and at one point aggressively bumped into the victim when the train made a sudden stop, the D.A.s office said.  When the train got to the Dekalb Avenue stop in Downtown Brooklyn, Thomas punched the woman in the face, the D.A.s office said.  Thomas then tried to leave the train by walking between cars but was caught after the train conductor called police, according to the office.  Thomas was charged with second-degree assault as a hate crime, third-degree assault as a hate crime and other related offenses.  Brooklyn is a model of inclusion and diversity where bias and bigotry will not be tolerated, Acting Brooklyn District Attorney Gonzalez said. This defendants alleged actions were an attack on everyones right to be who they are, and to love whom they choose. He will now be held accountable for this alleged attack that left a woman unconscious.  ",1,4,3
76,"LAKEWOOD, NJ — An anti-Semitic banner and fliers posted around Lakewood this weekend that referenced the recent string of arrests in a public assistance fraud investigation are under investigation by state and local authorities.  The banner was draped across a Holocaust memorial at Congregation Sons of Israel in Lakewood, according to a tweet from the Anti-Defamation League, and included an anti-Semitic slur and a reference to a website that promotes white supremacist views.  The fliers had been placed on vehicles around the township, according to a report in the Asbury Park Press.  This is sickening, New Jersey Attorney General Christopher Porrino said in a tweet Sunday. The tweet also said there is a $10,000 reward for bias crime info and conviction, and seeking information and tips on the people responsible.  The flier, tweeted by the Anti-Defamation League, directly references the arrests and includes photos of some of the people arrested last week in what federal and local law enforcement has said is an ongoing investigation into public assistance fraud. Seven married couples, including a rabbi, were arrested in a pair of raids, accused of taking at least $2 million in assistance ranging from SNAP and utilities assistance to housing and Superstorm Sandy assistance, according to federal authorities and the Ocean County Prosecutors office.  Lakewood Police Chief Gregory Meyer told the Asbury Park Press that the department is working with state law enforcement and the prosecutors office on the case.  We will not tolerate this kind of behavior, Meyer said. We will look to prosecute all incidents of bias crimes that take place against our citizens.  Looking forward to outcome of @Lakewood_PD and @OC_PROS investigation, the Anti-Defamation League tweeted.    Porrino urged anyone with information to call 1-877-277-2427 with tips or to visit the state Attorney Generals webpage on bias crimes. Click here or go to www.nj.gov/oag/bias/  Have you been a victim to or have witnessed a hate crime? Tell your story here.    Image via Google Maps",1,0,3
77,"SILVER SPRING, MD — Police are investigating a possible hate bias incident targeting a Muslim mother of four at a Silver Spring apartment building, according to the Council on American-Islamic Relations (CAIR).  The unidentified mother told CAIR that the harassment first began in April when she came home to blue sticky notes on her apartment door saying she should quiet down her children.  The threatening sticky notes convey messages like, I see you and Keep those kids QUIET! Too much bumping. Will retaliate. I can hear you... They also depict derogatory words and satanic symbols.    Hoping the perpetrator would stop, the woman did not report the incident to authorities until June, when the tone of the notes became more hostile. She said the recent notes have made her increasingly fearful for her safety and that of her children.    Several notes have popped up on her door every month since April, she said.  A muslim woman believes she is being harassed, because of her religion. These are some of the notes that were posted on her door. More @ 11. pic.twitter.com/K49TvDJ1Mp  — Anna-Lysa Gayle (@ABC7Annalysa) June 29, 2017  We just dont want to be living in fear. My kids were born here, I work and we pay our dues….all we want is just peace, the woman told ABC7. Were not going to go anywhere.  The Maryland Outreach Department of CAIR called on state and federal law enforcement authorities to investigate the incident.  Our communities need to know that the law is on their side if they stand up and report possible hate incidents, said CAIR Maryland Outreach Manager Dr. Zainab Chaudry in a statement.    Anyone with information, is urged to contact Montgomery County Police at 240-773-6870 or Crime Solvers at 1-866-411-TIPS (8477).  Photo: CAIR  ",1,3,3
78,"The following letter to the editor was submitted to Patch by James W. Fee, Jr. To submit a letter to the editor please email justin.heinze@patch.com.  Dear Editor,  I am deeply disturbed by a crime allegedly committed by Barry Baker. Baker is accused of sucker punching a man with cerebral palsy outside a 7/11 in West Chester, Pa. This crime is of particular interest to me because I also have cerebral palsy and the man being punched could just as easily have been me. What disturbs me even more about this crime is that it seems that the DA in the case, a Tom Hogan, has charged the man with simple assault.  I believe the crime is more serious than this. If you view the video tap, recorded by the 7/11 security camera, you will note that the disabled man was first made fun of and then, for no reason, punched. I believe the man was punched because he belonged to a minority group, namely, disabled people with cerebral palsy.  I further believe that punching someone simply because they are disabled raises this to a crime at a much more serious level. I believe that Mr. Baker is guilty of a hate crime and I would like to see the DA, Tom Hogan charge him as such.  I am an out-of-state resident and do not have access to Penn. Senators or Congressmen. I wish some interested person reading this letter would please pass it along to anyone that can influence the DA s decision to charge Mr. Baker with what I believe he deserves, a hate crime!  Sincerely,  James W. Fee, Jr.  Maryland  Patch file photo  ",1,7,0
79,"NAPERVILLE, IL -- Jewish deli Schmaltz Delicatessen in Naperville was vandalized on Fathers Day with an anti-Semitic message. The message was spray painted just outside the door. Police responded around 4:00 p.m.  Today sadly, our Fathers Day at Schmaltz Deli ended with a shocking crime when vandals spray painted a message intended to be anti-Semitic just outside our front door, a Schmaltz Facebook post says.  The vandalism took the form of the message free Gaza in black spray paint on the concrete outside the front door of Schmaltz. To Howard Bender, the delis owner, this was more than vandalism.  This is absolutely a hate crime, Bender said. [It] isnt about the statement, its about the targeting of a Jewish American business.  The Gaza Strip is a Palestinian territory which has been affected by a Israeli and Egyptian blockade for the past decade. The area has been a source of contention for decades.  Photo courtesy of Howard Bender  While non-violent, the vandalism is considered a hate crime. The FBI defines a hate crime as a criminal offense against a person or property motivated in whole or in part by an offenders bias against a race, religion, disability, sexual orientation, ethnicity, gender, or gender identity.    The Naperville Police Department confirmed that it is investigating the incident as a hate crime. Investigators are trying to obtain video surveillance.  Bender said he spent several hours cleaning the spray paint. Luckily, he said, the owner of the shoe repair shop next door came out with some chemicals to help dissolve the paint. We scrubbed and scrubbed. Black spray paint on concrete is not easy.  Being silent about things like this... is catastrophically wrong, he said. He noted that people have been desensitized to similar crimes in the recent past. Thats why Im speaking up about it.  The Facebook post, written by Bender, ends by saying Schmaltz Deli will continue to be a proud member of the Naperville community. We know this is not the true Naperville we are a part of, and that we have endless support from our customers and the rest of the community. We encourage everyone to be kind and reach out to those that are different from you. When we take the time to learn from each other, we are actively creating a more compassionate and loving society.  Have you been a victim to or have witnessed a hate crime? Tell your story here.    Article image via Google Maps  ",1,0,3
80,"MINNEAPOLIS, MN — Through its 311 service, the city of Minneapolis has opened a new hotline for reporting hate crimes, which it defines as harassing behaviors motivated by prejudice. The hotline number is 311 for anyone calling from within the city or (612) 673-3000 statewide.  The 311 hotline will be answered 7 a.m. - 7 p.m. weekdays and 8 a.m. - 4:30 p.m. weekends. Those with a report to make can also call the Department of Justice at 612-664-5600. As always, in the case of immediate physical violence, property damage or threats, people should call 911.  Hate crimes  A hate crime is any crime against a person or property motivated by prejudice against someones race, religion, disability, sexual orientation, ethnicity, gender or gender identity, according to a news release.  Minneapolis city officials say theyre committed to human rights and racial equity for everyone who lives in, works in and visits the city. Several organizations in Minnesota – Minneapolis Department of Civil Rights, Minnesota Department of Human Rights, City of Saint Paul Equal Opportunity Office and the Minnesota FBI – are working together to ensure Minnesotans feel safe and welcome.  Over the past several months, the partners have worked to increase community access to information and resources necessary to address issues of discrimination.  Discrimination  According to the city, discrimination is an action or a decision that treats a person or a group negatively for reasons such as their race, religion, disability, sexual orientation, ethnicity, gender or gender identity.  Image via Shutterstock",0,8,5
81,"CHICAGO, IL — An Oak Forest man is accused of leaving a threatening voicemail message in May for one of the officials at the Chicago branch of a Muslim-American advocacy group, a message that also included the callers phone number, the Chicago Triubne reports. Marvin Meyer, 45, was charged with a felony hate crime and a misdemeanor telephone threat. He was ordered held on $75,000 bail, and if released, Meyer must wear an electronic monitoring device, the report added.  According to prosecutors, Meyer said he called the Chicago office of Sufyan Sohel, deputy director of the Council on American-Islamic Relations, on May 16, and he allegedly threatened to kill the official, as well as insulted his religion and the Democratic Party, the report stated. Through phone records, investigators determined that Meyer was the only person who had used the account, the report added.  In his message, Meyer allegedly addressed himself as America calling, and he allegedly told Sohel he was not welcome here before launching into an expletive-laden death threat telling him to return to Syria, the report stated.  We will kill you, Meyer allegedly said, according to the Tribune.    As for why Meyer left his phone number on the voicemail, prosecutors said he allegedly explained in the message: Do I seem afraid of you?    Sohel, who does not know Meyer, is a lawyer who was born in the United States after his parents immigrated to the country from India. He told the Tribune he was satisfied with the seriousness in which the Chicago Police Department handled his case, especially given the content of the message Meyer is accused of leaving:  His comments were very violent in nature, and he threatened to kill people, and that raised flags and that kind of shook me because when people use that sort of language, it made me both fearful for me and my team, but I also got a sense of being unwelcome in the only country that Ive ever called home.  Based in Washington, D.C., the Council on American-Islamic Relations is a nonprofit group that strives to attain equal opportunity for — and normalize the image of — Muslims in America, according to the organizations website. CAIR does not consider itself a religious group in that we dont issue decrees, nor interpret religious text for the people, the website said. Instead, its described as a community services organization that focuses on civil rights, political empowerment, media monitoring and outreach.  Sohel told the Tribune that CAIR-Chicago has seen a dramatic increase this year in the reports of discrimination against Islamic-Americans the organization receives. Nearly halfway through 2017, he says the group already has received about 400 of those types of calls, a number that has been the organizations annual total in past years.  More via the Chicago Tribune  Police photo",1,1,0
82,"CHICAGO, IL — An Oak Forest man is accused of leaving a threatening voicemail message in May for one of the officials at the Chicago branch of a Muslim-American advocacy group, a message that also included the callers phone number, the Chicago Triubne reports. Marvin Meyer, 45, was charged with a felony hate crime and a misdemeanor telephone threat. He was ordered held on $75,000 bail, and if released, Meyer must wear an electronic monitoring device, the report added.  According to prosecutors, Meyer said he called the Chicago office of Sufyan Sohel, deputy director of the Council on American-Islamic Relations, on May 16, and he allegedly threatened to kill the official, as well as insulted his religion and the Democratic Party, the report stated. Through phone records, investigators determined that Meyer was the only person who had used the account, the report added. (Get Patch real-time email alerts for the latest news for Chicago — or your neighborhood. And iPhone users: Check out Patchs new app.)  In his message, Meyer allegedly addressed himself as America calling, and he allegedly told Sohel he was not welcome here before launching into an expletive-laden death threat telling him to return to Syria, the report stated.  We will kill you, Meyer allegedly said, according to the Tribune.    As for why Meyer left his phone number on the voicemail, prosecutors said he allegedly explained in the message: Do I seem afraid of you?  Sohel, who does not know Meyer, is a lawyer who was born in the United States after his parents immigrated to the country from India. He told the Tribune he was satisfied with the seriousness in which the Chicago Police Department handled his case, especially given the content of the message Meyer is accused of leaving:  His comments were very violent in nature, and he threatened to kill people, and that raised flags and that kind of shook me because when people use that sort of language, it made me both fearful for me and my team, but I also got a sense of being unwelcome in the only country that Ive ever called home.  Based in Washington, D.C., the Council on American-Islamic Relations is a nonprofit group that strives to attain equal opportunity for — and normalize the image of — Muslims in America, according to the organizations website. CAIR does not consider itself a religious group in that we dont issue decrees, nor interpret religious text for the people, the website said. Instead, its described as a community services organization that focuses on civil rights, political empowerment, media monitoring and outreach.  Sohel told the Tribune that CAIR-Chicago has seen a dramatic increase this year in the reports of discrimination against Islamic-Americans the organization receives. Nearly halfway through 2017, he says the group already has received about 400 of those types of calls, a number that has been the organizations annual total in past years.  More via the Chicago Tribune  Police photo  Like What Youre Reading? Stay Patched In!",1,1,0
83,"MIAMI, FL — A Miami Gardens man faces up to 25 years in prison after he was charged Thursday with a hate crime - making violent threats against a local mosque, say federal officials. Gerald Wallace, 35, is accused of calling the Islamic Center of Greater Miami on Feb. 19 and leaving a profanity-laced voicemail in which he threatened to shoot its members, according to a statement from the U.S. Attorneys Office for the Southern District of Florida.  In the voicemail, Wallace criticized Islam, the prophet Mohammed and the Koran, and threatened to go to the mosque, and stated, Im gonna shoot all yall, the statement added.  A federal grand jury indicted Wallace Thursday on the hate crime charge of obstructing the free exercise of religious beliefs, said Benjamin Greenberg, Miamis chief federal prosecutor. Wallace, a security guard, also was indicted on May 25 for the interstate transmission of a threatening communication for making the threat against the mosque.  The iman of the mosque told WFOR-TV CBS4News that he hopes that Wallaces arrest and the hate crime charge will deter others from threatening Muslims. We were very disturbed by the message he left and our congregation was very scared, said Abdul Hamid Samra, the imam.  Wallace is in jail, and hes due back in court next week, CBS4News reported. If hes convicted of both charges, he faces a maximum of 25 years in federal prison, according to Greenberg. The case is being handled by the FBI and the Miami Gardens Police Department.  Have you been a victim to or have witnessed a hate crime? Tell your story here.    Image: Patch",1,3,0
84,"WEST CHESTER, PA — Chester County legislators want to strengthen Pennsylvanias Hate Crime Law to include attacks on individuals with disabilities.  The move comes just days after Barry Baker, 29, was captured by law enforcement for allegedly mocking and then sucker punching a 22-year-old with cerebral palsy in front of a borough 7-11.  State Sen. Tom Killion (R-9) and State Rep. Becky Corbin (R-155) plan to introduce Senate Bill 749 formally on Thursday afternoon, Killions office confirmed.  Details on the new legislation were not immediately available, but lawmakers said that the proposals will aim to amend the existing hate crime law to protect individuals with physical and mental disabilities.  Baker was captured at a hotel in Exton by U.S. Marshals on Monday.  See also:  Patch file photo  ",1,7,0
